timestamp_us,philosopher_id,old_state,new_state
1779477240303480,3,THINKING,THINKING
1779477240303506,0,THINKING,THINKING
1779477240303511,1,THINKING,THINKING
1779477240303514,2,THINKING,THINKING
1779477240304140,4,THINKING,THINKING
1779477240497224,1,THINKING,HUNGRY
1779477240497229,1,HUNGRY,EATING
1779477240535498,0,THINKING,HUNGRY
1779477240552258,4,THINKING,HUNGRY
1779477240641529,2,THINKING,HUNGRY
1779477240693226,3,THINKING,HUNGRY
1779477240693232,3,HUNGRY,EATING
1779477240736457,1,EATING,THINKING
1779477240736472,0,HUNGRY,EATING
1779477240979738,3,EATING,THINKING
1779477240979748,2,HUNGRY,EATING
1779477240997228,1,THINKING,HUNGRY
1779477241054537,0,EATING,THINKING
1779477241054634,4,HUNGRY,EATING
1779477241121735,3,THINKING,HUNGRY
1779477241182614,1,HUNGRY,EATING
1779477241182622,2,EATING,THINKING
1779477241244831,0,THINKING,HUNGRY
1779477241381118,2,THINKING,HUNGRY
1779477241424016,4,EATING,THINKING
1779477241424044,3,HUNGRY,EATING
1779477241503798,1,EATING,THINKING
1779477241504364,0,HUNGRY,EATING
1779477241794417,0,EATING,THINKING
1779477241804836,3,EATING,THINKING
1779477241804873,2,HUNGRY,EATING
1779477241838158,4,THINKING,HUNGRY
1779477241838162,4,HUNGRY,EATING
1779477241988418,1,THINKING,HUNGRY
1779477242110677,3,THINKING,HUNGRY
1779477242141436,4,EATING,THINKING
1779477242150847,0,THINKING,HUNGRY
1779477242200930,2,EATING,THINKING
1779477242200941,1,HUNGRY,EATING
1779477242201005,3,HUNGRY,EATING
1779477242367428,2,THINKING,HUNGRY
1779477242398441,4,THINKING,HUNGRY
1779477242423088,1,EATING,THINKING
1779477242423100,0,HUNGRY,EATING
1779477242524140,3,EATING,THINKING
1779477242524214,2,HUNGRY,EATING
1779477242589346,1,THINKING,HUNGRY
1779477242797743,0,EATING,THINKING
1779477242797853,4,HUNGRY,EATING
1779477242838519,2,EATING,THINKING
1779477242838529,1,HUNGRY,EATING
1779477242927519,3,THINKING,HUNGRY
1779477243032480,4,EATING,THINKING
1779477243032491,3,HUNGRY,EATING
1779477243061826,2,THINKING,HUNGRY
1779477243171727,1,EATING,THINKING
1779477243278233,0,THINKING,HUNGRY
1779477243278238,0,HUNGRY,EATING
1779477243394789,3,EATING,THINKING
1779477243394892,2,HUNGRY,EATING
1779477243431084,4,THINKING,HUNGRY
1779477243490556,1,THINKING,HUNGRY
1779477243573411,3,THINKING,HUNGRY
1779477243654113,0,EATING,THINKING
1779477243654185,4,HUNGRY,EATING
1779477243772189,1,HUNGRY,EATING
1779477243772198,2,EATING,THINKING
1779477243886821,2,THINKING,HUNGRY
1779477243932030,0,THINKING,HUNGRY
1779477243939361,4,EATING,THINKING
1779477243939403,3,HUNGRY,EATING
1779477244117758,1,EATING,THINKING
1779477244117770,0,HUNGRY,EATING
1779477244138472,4,THINKING,HUNGRY
1779477244315110,2,HUNGRY,EATING
1779477244315128,3,EATING,THINKING
1779477244516516,0,EATING,THINKING
1779477244516803,4,HUNGRY,EATING
1779477244579732,2,EATING,THINKING
1779477244612706,1,THINKING,HUNGRY
1779477244612710,1,HUNGRY,EATING
1779477244620607,0,THINKING,HUNGRY
1779477244782234,3,THINKING,HUNGRY
1779477244893842,4,EATING,THINKING
1779477244893874,3,HUNGRY,EATING
1779477244949488,2,THINKING,HUNGRY
1779477244973292,1,EATING,THINKING
1779477244973307,0,HUNGRY,EATING
1779477245036043,4,THINKING,HUNGRY
1779477245101250,3,EATING,THINKING
1779477245101259,2,HUNGRY,EATING
1779477245273368,1,THINKING,HUNGRY
1779477245280772,4,HUNGRY,EATING
1779477245280770,0,EATING,THINKING
1779477245404528,1,HUNGRY,EATING
1779477245499349,3,THINKING,HUNGRY
1779477245502040,3,HUNGRY,EATING
1779477245658626,0,THINKING,HUNGRY
1779477245741527,0,HUNGRY,EATING
